"code";"description";"procurement_category";"name";"parent";"language_code"
"03000000-1";;"goods";"Agricultural, farming, fishing, forestry and related products";"";"en"
"03000000-1";;"goods";"Produse agricole, de fermă, de pescuit, de silvicultură şi produse conexe";"";"ro"
"03000000-1";;"goods";"Сельскохозяйственная, фермерская продукция, продукция рыболовства, лесоводства и сопутствующая продукция";"";"ru"
"03100000-2";;"goods";"Agricultural and horticultural products";"03000000-1";"en"
"03100000-2";;"goods";"Produse agricole şi horticole";"03000000-1";"ro"
"03100000-2";;"goods";"Садоводческая и сельскохозяйственная продукция";"03000000-1";"ru"
"03110000-5";;"goods";"Crops, products of market gardening and horticulture";"03100000-2";"en"
"03110000-5";;"goods";"Produse agricole, produse horticole şi de grădină pentru comercializare";"03100000-2";"ro"
"03110000-5";;"goods";"Сельскохозяйственная, садоводческая и садовая продукция для продажи";"03100000-2";"ru"
"03111000-2";;"goods";"Seeds";"03110000-5";"en"
"03111000-2";;"goods";"Seminţe";"03110000-5";"ro"
"03111000-2";;"goods";"Семена";"03110000-5";"ru"
"03111100-3";;"goods";"Soya beans";"03111000-2";"en"
"03111100-3";;"goods";"Boabe de soia";"03111000-2";"ro"
"03111100-3";;"goods";"Бобы сои";"03111000-2";"ru"
"03111200-4";;"goods";"Peanuts";"03111000-2";"en"
"03111200-4";;"goods";"Arahide";"03111000-2";"ro"
"03111200-4";;"goods";"Арахис";"03111000-2";"ru"
"03111300-5";;"goods";"Sunflower seeds";"03111000-2";"en"
"03111300-5";;"goods";"Seminţe de floarea-soarelui";"03111000-2";"ro"
"03111300-5";;"goods";"Семена подсолнечника";"03111000-2";"ru"
"03111400-6";;"goods";"Cotton seeds";"03111000-2";"en"
"03111400-6";;"goods";"Seminţe de bumbac";"03111000-2";"ro"
"03111400-6";;"goods";"Семена хлопка";"03111000-2";"ru"
"03111500-7";;"goods";"Sesame seeds";"03111000-2";"en"
"03111500-7";;"goods";"Seminţe de susan";"03111000-2";"ro"
"03111500-7";;"goods";"Семена кунжута";"03111000-2";"ru"
"03111600-8";;"goods";"Mustard seeds";"03111000-2";"en"
"03111600-8";;"goods";"Seminţe de muştar";"03111000-2";"ro"
"03111600-8";;"goods";"Семена горчицы";"03111000-2";"ru"
"03111700-9";;"goods";"Vegetable seeds";"03111000-2";"en"
"03111700-9";;"goods";"Seminţe de legume";"03111000-2";"ro"
"03111700-9";;"goods";"Семена овощей";"03111000-2";"ru"
"03111800-0";;"goods";"Fruit seeds";"03111000-2";"en"
"03111800-0";;"goods";"Seminţe de fructe";"03111000-2";"ro"
"03111800-0";;"goods";"Семена фруктов";"03111000-2";"ru"
"03111900-1";;"goods";"Flower seeds";"03111000-2";"en"
"03111900-1";;"goods";"Seminţe de flori";"03111000-2";"ro"
"03111900-1";;"goods";"Семена цветов";"03111000-2";"ru"
"03112000-9";;"goods";"Unmanufactured tobacco";"03110000-5";"en"
"03112000-9";;"goods";"Tutun neprelucrat";"03110000-5";"ro"
"03112000-9";;"goods";"Необработанный табак";"03110000-5";"ru"
"03113000-6";;"goods";"Plants used for sugar manufacturing";"03110000-5";"en"
"03113000-6";;"goods";"Plante utilizate la fabricarea zahărului";"03110000-5";"ro"
"03113000-6";;"goods";"Растения, используемые при производстве сахара";"03110000-5";"ru"
"03113100-7";;"goods";"Sugar beet";"03113000-6";"en"
"03113100-7";;"goods";"Sfeclă de zahăr";"03113000-6";"ro"
"03113100-7";;"goods";"Сахарная свекла";"03113000-6";"ru"
"03113200-8";;"goods";"Sugar cane";"03113000-6";"en"
"03113200-8";;"goods";"Trestie de zahăr";"03113000-6";"ro"
"03113200-8";;"goods";"Сахарный тростник";"03113000-6";"ru"
"03114000-3";;"goods";"Straw and forage";"03110000-5";"en"
"03114000-3";;"goods";"Paie şi plante furajere";"03110000-5";"ro"
"03114000-3";;"goods";"Сено и фуражные культуры";"03110000-5";"ru"
"03114100-4";;"goods";"Straw";"03114000-3";"en"
"03114100-4";;"goods";"Paie";"03114000-3";"ro"
"03114100-4";;"goods";"Сено";"03114000-3";"ru"
"03114200-5";;"goods";"Forage";"03114000-3";"en"
"03114200-5";;"goods";"Plante furajere";"03114000-3";"ro"
"03114200-5";;"goods";"Фуражные культуры";"03114000-3";"ru"
"03115000-0";;"goods";"Raw vegetable materials";"03110000-5";"en"
"03115000-0";;"goods";"Materii prime vegetale";"03110000-5";"ro"
"03115000-0";;"goods";"Растительное сырье";"03110000-5";"ru"
"03115100-1";;"goods";"Raw vegetable materials used in textile production";"03115000-0";"en"
"03115100-1";;"goods";"Materii prime vegetale destinate industriei textile";"03115000-0";"ro"
"03115100-1";;"goods";"Растительное сырье, предназначенное для текстильной промышленности";"03115000-0";"ru"
"03115110-4";;"goods";"Cotton";"03115000-0";"en"
"03115110-4";;"goods";"Bumbac";"03115000-0";"ro"
"03115110-4";;"goods";"Хлопок";"03115000-0";"ru"
"03115120-7";;"goods";"Jute";"03115000-0";"en"
"03115120-7";;"goods";"Iută";"03115000-0";"ro"
"03115120-7";;"goods";"Джут";"03115000-0";"ru"
"03115130-0";;"goods";"Flax";"03115000-0";"en"
"03115130-0";;"goods";"In";"03115000-0";"ro"
"03115130-0";;"goods";"Лен";"03115000-0";"ru"
"03116000-7";;"goods";"Natural rubber and latex, and associated products";"03110000-5";"en"
"03116000-7";;"goods";"Cauciuc natural, latex natural şi produse conexe";"03110000-5";"ro"
"03116000-7";;"goods";"Натуральный каучук, натуральный латекс и сопутствующие продукты";"03110000-5";"ru"
"03116100-8";;"goods";"Natural rubber";"03116000-7";"en"
"03116100-8";;"goods";"Cauciuc natural";"03116000-7";"ro"
"03116100-8";;"goods";"Натуральный каучук";"03116000-7";"ru"
"03116200-9";;"goods";"Natural latex";"03116000-7";"en"
"03116200-9";;"goods";"Latex natural";"03116000-7";"ro"
"03116200-9";;"goods";"Натуральный латекс";"03116000-7";"ru"
"03116300-0";;"goods";"Latex products";"03116000-7";"en"
"03116300-0";;"goods";"Produse din latex";"03116000-7";"ro"
"03116300-0";;"goods";"Латексные изделия";"03116000-7";"ru"
"03117000-4";;"goods";"Plants used in specific fields";"03110000-5";"en"
"03117000-4";;"goods";"Plante cu utilizare specifică";"03110000-5";"ro"
"03117000-4";;"goods";"Растения используемые в специальных целях";"03110000-5";"ru"
"03117100-5";;"goods";"Plants used in perfumery or pharmacy, or for insecticidal or similar purposes";"03117000-4";"en"
"03117100-5";;"goods";"Plante utilizate în parfumerii sau în farmacii sau ca insecticide, sau cu utilizare similară";"03117000-4";"ro"
"03117100-5";;"goods";"Растения, используемые в парфюмерии или в фармакологии, в качестве инсектицидов либо для подобных целей";"03117000-4";"ru"
"03117110-8";;"goods";"Plants used in perfumery";"03117000-4";"en"
"03117110-8";;"goods";"Plante utilizate în parfumerii";"03117000-4";"ro"
"03117110-8";;"goods";"Растения, используемые в парфюмерии";"03117000-4";"ru"
"03117120-1";;"goods";"Plants used in pharmacy";"03117000-4";"en"
"03117120-1";;"goods";"Plante utilizate în farmacii";"03117000-4";"ro"
"03117120-1";;"goods";"Растения, используемые в фармакологии";"03117000-4";"ru"
"03117130-4";;"goods";"Plants used for insecticidal purposes";"03117000-4";"en"
"03117130-4";;"goods";"Plante utilizate ca insecticide";"03117000-4";"ro"
"03117130-4";;"goods";"Растения, используемые в качестве инсектицидов";"03117000-4";"ru"
"03117140-7";;"goods";"Plants used for fungicidal or similar purposes";"03117000-4";"en"
"03117140-7";;"goods";"Plante utilizate ca fungicide sau cu utilizare similară";"03117000-4";"ro"
"03117140-7";;"goods";"Растения, используемые в качестве фунгицидов либо для подобных целей.";"03117000-4";"ru"
"03117200-6";;"goods";"Seeds of plants used in specific fields";"03117000-4";"en"
"03117200-6";;"goods";"Seminţe de plante cu utilizare specifică";"03117000-4";"ro"
"03117200-6";;"goods";"Семена растений специального использования";"03117000-4";"ru"
"03120000-8";;"goods";"Horticultural and nursery products";"03100000-2";"en"
"03120000-8";;"goods";"Produse horticole şi plante de pepinieră";"03100000-2";"ro"
"03120000-8";;"goods";"Садоводческая продукция и бахчевые культуры";"03100000-2";"ru"
"03121000-5";;"goods";"Horticultural products";"03120000-8";"en"
"03121000-5";;"goods";"Produse horticole";"03120000-8";"ro"
"03121000-5";;"goods";"Садоводческие продукты";"03120000-8";"ru"
"03121100-6";;"goods";"Live plants, bulbs, roots, cuttings and slips";"03121000-5";"en"
"03121100-6";;"goods";"Plante vii, bulbi, rădăcini, butaşi şi altoaie";"03121000-5";"ro"
"03121100-6";;"goods";"Живые растения, клубни, корни, черенки и отводки";"03121000-5";"ru"
"03121200-7";;"goods";"Cut flowers";"03121000-5";"en"
"03121200-7";;"goods";"Flori tăiate";"03121000-5";"ro"
"03121200-7";;"goods";"Срезанные цветы";"03121000-5";"ru"
"03121210-0";;"goods";"Floral arrangements";"03121000-5";"en"
"03121210-0";;"goods";"Aranjamente florale";"03121000-5";"ro"
"03121210-0";;"goods";"Цветочные композиции";"03121000-5";"ru"
"03130000-1";;"goods";"Beverage and spice crops";"03100000-2";"en"
"03130000-1";;"goods";"Plante pentru prepararea băuturilor şi a condimentelor";"03100000-2";"ro"
"03130000-1";;"goods";"Растения для приготовления напитков и пряностей";"03100000-2";"ru"
"03131000-8";;"goods";"Beverage crops";"03130000-1";"en"
"03131000-8";;"goods";"Plante pentru prepararea băuturilor";"03130000-1";"ro"
"03131000-8";;"goods";"Растения для приготовления напитков";"03130000-1";"ru"
"03131100-9";;"goods";"Coffee beans";"03131000-8";"en"
"03131100-9";;"goods";"Boabe de cafea";"03131000-8";"ro"
"03131100-9";;"goods";"Кофейные зерна";"03131000-8";"ru"
"03131200-0";;"goods";"Tea bushes";"03131000-8";"en"
"03131200-0";;"goods";"Plante de ceai";"03131000-8";"ro"
"03131200-0";;"goods";"Чайные листья";"03131000-8";"ru"
"03131300-1";;"goods";"Maté";"03131000-8";"en"
"03131300-1";;"goods";"Maté";"03131000-8";"ro"
"03131300-1";;"goods";"Мате";"03131000-8";"ru"
"03131400-2";;"goods";"Cocoa beans";"03131000-8";"en"
"03131400-2";;"goods";"Boabe de cacao";"03131000-8";"ro"
"03131400-2";;"goods";"Какао бобы";"03131000-8";"ru"
"03132000-5";;"goods";"Unprocessed spices";"03130000-1";"en"
"03132000-5";;"goods";"Condimente neprelucrate";"03130000-1";"ro"
"03132000-5";;"goods";"Необработанные пряности";"03130000-1";"ru"
"03140000-4";;"goods";"Animal products and related products";"03100000-2";"en"
"03140000-4";;"goods";"Produse de origine animală şi produse conexe";"03100000-2";"ro"
"03140000-4";;"goods";"Продукты животного происхождения и сопутствующая продукция";"03100000-2";"ru"
"03141000-1";;"goods";"Bulls' semen";"03140000-4";"en"
"03141000-1";;"goods";"Material seminal de taur";"03140000-4";"ro"
"03141000-1";;"goods";"Семенной материал от быка";"03140000-4";"ru"
"03142000-8";;"goods";"Animal products";"03140000-4";"en"
"03142000-8";;"goods";"Produse de origine animală";"03140000-4";"ro"
"03142000-8";;"goods";"Продукция животного происхождения";"03140000-4";"ru"
"03142100-9";;"goods";"Natural honey";"03142000-8";"en"
"03142100-9";;"goods";"Miere naturală";"03142000-8";"ro"
"03142100-9";;"goods";"Натуральный мед";"03142000-8";"ru"
"03142200-0";;"goods";"Snails";"03142000-8";"en"
"03142200-0";;"goods";"Melci";"03142000-8";"ro"
"03142200-0";;"goods";"Улитки";"03142000-8";"ru"
"03142300-1";;"goods";"Edible products of animal origin";"03142000-8";"en"
"03142300-1";;"goods";"Produse alimentare de origine animală";"03142000-8";"ro"
"03142300-1";;"goods";"Продукты питания животного происхождения";"03142000-8";"ru"
"03142400-2";;"goods";"Waxes";"03142000-8";"en"
"03142400-2";;"goods";"Ceară";"03142000-8";"ro"
"03142400-2";;"goods";"Воск";"03142000-8";"ru"
"03142500-3";;"goods";"Eggs";"03142000-8";"en"
"03142500-3";;"goods";"Ouă";"03142000-8";"ro"
"03142500-3";;"goods";"Яйцо";"03142000-8";"ru"
"03143000-5";;"goods";"Products of mixed farming";"03140000-4";"en"
"03143000-5";;"goods";"Produse de policultură";"03140000-4";"ro"
"03143000-5";;"goods";"Продукты многоотраслевого хозяйства";"03140000-4";"ru"
"03144000-2";;"goods";"Agricultural supplies";"03140000-4";"en"
"03144000-2";;"goods";"Produse agricole";"03140000-4";"ro"
"03144000-2";;"goods";"Сельскохозяйственные продукты";"03140000-4";"ru"
"03200000-3";;"goods";"Cereals, potatoes, vegetables, fruits and nuts";"03000000-1";"en"
"03200000-3";;"goods";"Cereale, cartofi, legume, fructe şi fructe cu coajă";"03000000-1";"ro"
